attention,meditation,delta,theta,lowAplha,highAlpha,lowBeta,highBeta,lowGamma,highGamma
53,78,217092,46894,7486,38763,21828,7046,9646,8393
63,75,19250,16825,4786,2716,2551,6691,4282,2930
75,77,16972,15687,6813,8705,5602,6558,2399,1633
84,100,17870,7895,9595,4929,4386,4374,1598,3104
88,100,6327,14511,7039,3588,5433,3229,2831,2463
84,100,21368,10713,19901,4709,3269,6214,3597,534
83,100,5233,5136,12418,2254,4409,2724,5760,1880
80,100,7302,19427,9244,6665,1943,5290,9039,3087
78,97,354160,61804,6696,25200,13090,8181,10795,2406
67,74,176959,94377,24270,8543,9753,6382,4926,1722
74,69,7240,9594,15439,5803,2048,9033,2391,1917
75,61,5500,16677,4207,4420,1343,4517,4105,1498
78,57,4137,27267,4574,7743,7071,5178,2842,1532
87,75,16603,5964,8803,2774,4108,3435,1759,999
83,74,4543,8648,8177,4230,2280,3301,1387,1043
77,57,8631,22270,3018,1728,4982,1902,3446,1480
69,60,367907,93270,29705,14574,18128,7824,4054,2007
77,48,4773,4472,5222,2439,8528,5171,1649,2404
70,43,18572,15875,8358,5425,3042,2501,1108,1142
75,63,4718,16221,10917,2805,5020,3457,2137,1283
57,44,529062,133157,2051,3802,1562,752,504,629
40,54,787959,99112,54802,8193,4978,5431,7377,1244
35,53,584341,42743,8242,10428,2500,2495,2036,4223
43,60,19636,9687,5748,8624,2033,8998,2480,859
64,88,19639,20585,12239,631,5178,3764,3985,3864
75,97,16002,7822,19557,9022,4639,5109,5211,7193
84,93,176675,117444,45666,4154,10656,29510,8611,9285
69,87,314749,155416,55512,20225,17835,10785,14250,4424
75,81,32176,18868,3233,4916,1264,5797,3846,2534
74,60,19555,68419,12960,5864,4840,8769,1754,794
66,77,326160,55147,24753,22473,12221,7165,2967,443
60,94,165037,42087,37443,35540,12974,16526,2131,2482
61,88,78954,47798,17882,16250,6381,5643,3525,1223
74,84,302474,19757,17425,3294,13640,14181,4616,1624
77,100,630522,12524,13542,13457,4614,3023,774,681
67,100,351993,28687,34985,22646,8230,4625,3077,1859
66,100,64370,29594,10396,36969,8526,4086,2462,1088
60,100,48757,9904,11579,16126,6237,4232,3217,900
54,100,30049,76086,39357,10778,7366,5053,1216,906
53,96,26640,26069,3020,6985,3615,1902,4110,3244
60,63,12508,26267,1857,921,12033,3852,4347,1579
57,61,49761,18497,24529,4904,4693,3412,4686,4010
60,61,250093,88407,35423,18734,3383,7335,3034,1586
53,78,444273,79294,2995,19163,13295,6023,8479,9256
61,74,161376,17455,11037,15279,3169,10221,2991,2763
64,69,25846,43684,4185,16452,2492,5399,6936,3957
66,87,15370,5666,62875,3525,5520,4176,3066,1775
66,100,47442,18060,48655,17223,14797,5832,10154,2084
61,96,327793,37433,34238,18101,6817,8059,4487,2501
69,94,176505,21700,15227,18947,13645,16226,2939,1098
69,70,24471,56648,12050,7301,3446,5003,2896,5402
74,69,8699,11351,14103,12989,1083,4592,2223,3205
80,66,8174,12939,5562,3768,2908,5708,3185,2061
80,78,19628,14863,19265,12123,12001,2943,3666,3058
75,75,1929139,167570,284995,38881,69479,26209,14369,3850
67,64,781744,21015,5881,5081,3072,3193,980,1925
60,60,5032,24000,4021,3410,4475,3297,5167,1410
57,47,224830,171979,18070,25488,12116,10656,12146,2670
61,24,1657039,70588,5011,3517,5778,7428,3655,3318
53,24,814048,228107,61896,36784,37431,10395,8864,2994
64,48,55951,10784,6437,11207,6925,4942,2740,4027
66,61,58222,25313,11408,5487,3791,4558,2070,2194
78,74,63240,15423,15010,16348,3049,8188,4573,3246
80,69,26963,18165,16744,12382,7301,9987,5848,2442
78,69,21773,16821,2222,16985,7401,4164,5341,2506
81,69,34364,11456,6076,3190,4414,3155,7448,1586
77,56,9982,76246,41270,10978,5453,5496,3469,2617
78,44,21911,57535,4852,8290,6382,9694,3913,1459
51,40,1191075,134446,41519,44056,26229,19710,14060,3722
53,26,401808,158411,14607,10160,7804,8557,12407,2353
43,27,711441,179365,25351,19601,28767,7675,5683,1982
50,47,26427,22422,37009,31879,7362,6008,4238,1492
50,50,7491,38347,5693,21296,3673,5518,3916,1114
53,66,57012,42378,57926,3272,5964,9042,1401,3237
63,70,1230528,59691,17408,12760,22359,10418,4126,1881
66,60,38367,43004,25611,5840,4766,6955,4152,5634
61,57,460941,74827,20928,23781,9833,4645,4198,4061
51,57,320377,127806,66783,65789,21763,6477,4483,3856
40,69,168472,58599,84589,10924,5471,4199,4382,2129
41,74,15626,34035,29018,10695,4433,7310,3990,5725
44,84,249918,31867,69006,12939,4133,6698,5493,2002
43,74,64620,144046,25363,6598,4049,3604,11318,3539
60,67,7128,2304,2469,6610,6180,2822,2412,2331
60,54,34127,43854,12319,12072,5088,5331,5653,4814
70,75,16397,5921,8720,19835,3909,3615,8006,1961
70,75,6305,8446,4670,8768,3721,5219,5198,857
77,74,16491,14670,9625,6121,3763,5140,16227,3784
87,74,22307,24185,7813,8857,2760,12011,5028,2151
91,67,44555,8974,5632,12821,1465,5400,15763,926
78,67,174716,38890,24497,10676,8291,3731,6607,4500
80,64,81872,31473,16436,10739,8472,12772,5784,1250
69,77,59053,13374,13239,24386,6330,3950,1934,1077
57,66,51831,77077,13918,15020,2886,3818,3633,2212
53,66,173452,17801,10961,4645,2649,945,623,438
50,64,189712,16167,7143,1853,1810,2883,1310,695
60,51,49833,42251,2696,13124,8005,6967,2926,1167
74,53,12705,12656,11880,5024,2636,4647,5673,3922
90,64,19538,3684,11884,3198,7719,9655,11206,2593
93,67,9565,30909,14518,3823,2950,8540,6106,1418
69,40,546015,66225,2928,7454,7369,4599,5148,991
64,38,307367,245769,209067,242385,333318,189706,28590,7297
57,41,1373334,41610,21080,61510,70251,10822,6159,5228
64,41,957062,125133,21078,14080,6229,10221,7203,1311
74,47,231735,56580,5339,17863,28557,12072,26745,1553
74,47,1020310,514269,249014,272031,307114,275294,44311,21949
74,47,1184654,107133,17527,19500,64515,156141,110699,93510
74,47,9,3,2,1,1,1,0,0
74,47,534817,56184,90888,94187,68492,33728,12507,14036
74,47,287481,19789,15794,17761,25525,13645,1788,2000
74,47,43355,58320,63368,15126,6284,5937,1248,2335
